codigo,nome,marca,linha,faixa_etaria,dimensoes,pagina_catalogo,revisar
3122,LITTLE FIGS GALINHA PINTADINHA O FILME* LANÇAMENTO!,playmi,Play&Collect,+3 anos,170A x 245C x 60L,88,
3104,LITTLE FIGS GALINHA PINTADINHA TEMÁTICA,playmi,Play&Collect,+3 anos,170A x 245C x 60L,88,
3101,LITTLE FIGS O SHOW DA LUNA,playmi,Play&Collect,+3 anos,170A x 245C x 60L,88,
3118,BONECO DE BANHO COM ESGUICHO DISNEY,playmi,Play&Collect,+9 meses,130A x 80C x 69L,89,
3119,BONECO DE BANHO COM ESGUICHO DISNEY MINNIE,playmi,Play&Collect,+9 meses,130A x 80C x 69L,89,
3120,BONECO DE BANHO COM ESGUICHO DISNEY,playmi,Play&Collect,+9 meses,130A x 84C x 60L,90,
3121,BONECO DE BANHO COM ESGUICHO DISNEY WOODY,playmi,Play&Collect,+9 meses,130A x 65C x 69L,90,
3098,TOTOKINHA MARVEL SPIDEY,playmi,Play&Collect,+18 meses,348A x 495C x 250L,91,
6018,TOTOKINHA MARVEL,playmi,Play&Collect,+18 meses,316A x 498C x 283L,91,
3099,MILEVA MARVEL SPIDEY,playmi,Play&Collect,+18 meses,170A x 312C x 255L,92,
3096,TOTOKINHA DISNEY ARIEL,playmi,Play&Collect,+18 meses,,93,SIM
6017,TOTOKINHA DISNEY ARIEL CAIXA INDIVIDUAL,playmi,Play&Collect,+18 meses,316A x 498C x 283L,93,
3097,MILEVA DISNEY ARIEL,playmi,Play&Collect,+18 meses,170A x 312C x 255L,93,
3124,LANÇAMENTO! TOTOKINHA PRINCESAS,playmi,Play&Collect,+18 meses,348A x 495C x 250L,94,
6021,TOTOKINHA PRINCESAS CAIXA INDIVIDUAL,playmi,Play&Collect,+18 meses,316A x 498C x 283L,94,
7229,LANÇAMENTO! PATINETE BLUEY* .seõçaretla a,playmi,Play&Collect,+2 anos,450A x 580c x 390L,95,
3123,LANÇAMENTO! TOTOKINHA BLUEY*,playmi,Play&Collect,+18 meses,348A x 495C x 250L,96,
6020,CAIXA INDIVIDUAL,playmi,Play&Collect,+18 meses,316A x 498C x 283L,96,
3106,BONECO DE VINIL OS SMURFS - SMURF,playmi,Play&Collect,+18 meses,140A x 70C x 65L,97,
3108,BONECO DE VINIL OS SMURFS - SMURFETTE,playmi,Play&Collect,+18 meses,140A x 70C x 65L,97,
